contrat_id,client_id,produit_id,agence_id,montant_finance,apport_client,taux_interet,duree_mois,mensualite,date_deblocage,date_fin_prevue,statut_contrat,motif_credit,nb_echeances_total,montant_total_du
CTR0000001,CLI006983,PROD006,AG009,191185.11,0.0,12.6,36,6405.01,2022-06-25,2025-06-09,En cours,Restructuration,36,230580.36
CTR0000002,CLI000952,PROD008,AG012,79642.72,0.0,7.58,36,2480.31,2019-02-28,2022-02-12,Soldé,Consommation,36,89291.16
CTR0000003,CLI001315,PROD005,AG019,17901.69,2685.25,9.49,42,502.6,2018-10-29,2022-04-11,En cours,Automobile,42,21109.2
CTR0000004,CLI004622,PROD008,AG020,86788.69,0.0,8.2,48,2126.92,2018-11-07,2022-10-17,Restructuré,Consommation,48,102092.16
CTR0000005,CLI006371,PROD002,AG003,158915.07,31783.01,9.17,24,7272.4,2015-08-17,2017-08-06,Soldé,Automobile,24,174537.6
CTR0000006,CLI004489,PROD006,AG020,80008.84,0.0,14.5,24,3860.38,2019-02-08,2021-01-28,Soldé,Restructuration,24,92649.12
CTR0000007,CLI001712,PROD001,AG015,324310.19,32431.02,8.16,84,5080.66,2015-01-10,2021-12-04,Soldé,Automobile,84,426775.44
CTR0000008,CLI008651,PROD004,AG011,47200.82,4720.08,8.06,30,1742.46,2018-07-05,2020-12-21,En retard,Équipement,30,52273.8
CTR0000009,CLI002802,PROD002,AG009,71858.97,14371.79,8.97,60,1490.63,2018-11-27,2023-11-01,En cours,Automobile,60,89437.8
CTR0000010,CLI002725,PROD008,AG019,98355.31,0.0,7.32,24,4417.9,2020-12-11,2022-12-01,En cours,Consommation,24,106029.6
CTR0000011,CLI001680,PROD002,AG009,108613.89,21722.78,9.99,12,9548.38,2022-03-12,2023-03-07,Soldé,Automobile,12,114580.56
CTR0000012,CLI003761,PROD003,AG012,135633.13,0.0,12.17,42,3981.92,2017-06-19,2020-11-30,En cours,Consommation,42,167240.64
CTR0000013,CLI006435,PROD007,AG003,79576.26,0.0,7.75,30,2926.33,2016-04-15,2018-10-02,Soldé,Consommation,30,87789.9
CTR0000014,CLI001894,PROD003,AG007,43344.06,0.0,10.72,60,936.36,2021-09-08,2026-08-13,En cours,Consommation,60,56181.6
CTR0000015,CLI008294,PROD005,AG005,23664.33,3549.65,11.52,24,1108.67,2018-02-07,2020-01-28,En cours,Automobile,24,26608.08
CTR0000016,CLI006440,PROD002,AG020,168550.06,33710.01,10.29,30,6395.87,2017-01-25,2019-07-14,En cours,Automobile,30,191876.1
CTR0000017,CLI004672,PROD007,AG018,50238.7,0.0,9.02,24,2295.6,2018-09-25,2020-09-14,En cours,Consommation,24,55094.4
CTR0000018,CLI007459,PROD002,AG001,142439.29,28487.86,9.42,30,5347.5,2021-11-17,2024-05-05,Soldé,Automobile,30,160425.0
CTR0000019,CLI006334,PROD008,AG008,36184.79,0.0,8.07,54,801.33,2018-11-22,2023-04-30,En cours,Consommation,54,43271.82
CTR0000020,CLI001277,PROD001,AG001,322568.8,32256.88,6.78,48,7691.43,2022-12-05,2026-11-14,En cours,Automobile,48,369188.64
CTR0000021,CLI005795,PROD002,AG019,175891.47,35178.29,8.75,12,15361.58,2016-06-05,2017-05-31,En cours,Automobile,12,184338.96
CTR0000022,CLI001290,PROD005,AG011,37048.6,5557.29,10.12,42,1051.21,2018-12-04,2022-05-17,Soldé,Automobile,42,44150.82
CTR0000023,CLI003519,PROD006,AG012,189159.3,0.0,13.55,78,3660.68,2018-03-16,2024-08-11,En cours,Restructuration,78,285533.04
CTR0000024,CLI008594,PROD008,AG007,86517.9,0.0,8.73,54,1943.19,2019-02-11,2023-07-20,En cours,Consommation,54,104932.26
CTR0000025,CLI002312,PROD004,AG004,95056.98,9505.7,8.29,24,4311.75,2020-02-27,2022-02-16,En cours,Équipement,24,103482.0
CTR0000026,CLI004538,PROD005,AG009,59274.12,8891.12,11.76,48,1553.94,2017-05-06,2021-04-15,En cours,Automobile,48,74589.12
